date,total_clones,unique_clones
2022-10-19,4,3
2022-10-20,3,3
2022-10-21,4,4
2022-10-22,2,2
2022-10-23,4,4
2022-10-24,4,4
2022-10-25,3,2
2022-10-26,3,3
2022-10-27,2,2
2022-10-28,2,2
2022-10-29,3,3
2022-10-30,3,3
2022-10-31,3,3
2022-11-01,3,3
2022-11-02,2,2
2022-11-03,3,3
2022-11-04,4,4
2022-11-05,4,4
2022-11-06,3,3
2022-11-07,2,2
2022-11-08,3,3
2022-11-09,1,1
